SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,TOV,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,normalized_player_name,player_group,bucks_guard_position,roster_guard_source,AST_TOV_CALC,playmaking_value_index,scoring_efficiency_index,half_court_creator_index,turnover_risk_index,performance_argument_score
2022-23,204060,Joe Ingles,1610612749,MIL,35.0,46,22.7,6.9,2.8,3.3,1.2,1.7,0.435,0.409,0.857,114.9,112.4,2.5,0.181,2.73,32.5,11.9,0.603,0.616,0.122,104.12,0.076,joe ingles,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.75,19.435,31.988,33.37505,6.5649999999999995,31.0773
2022-23,201609,Goran Dragic,1610612749,MIL,37.0,58,15.0,6.3,1.4,2.6,1.1,0.1,0.421,0.359,0.689,111.6,112.2,-0.6,0.237,2.4,26.5,11.1,0.499,0.514,0.198,103.2,0.073,goran dragic,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.3636363636363633,19.230000000000004,27.338,31.304800000000004,6.085,29.175050000000002
2022-23,1628960,Grayson Allen,1610612749,MIL,27.0,72,27.4,10.4,3.3,2.3,1.0,3.2,0.44,0.399,0.905,113.9,109.1,4.9,0.107,2.26,19.4,8.6,0.571,0.612,0.143,102.56,0.078,grayson allen,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.3,13.07,34.528,30.6633,5.01,28.9098
2022-23,1628975,Jevon Carter,1610612749,MIL,27.0,81,22.4,8.0,2.5,2.4,1.0,0.8,0.423,0.421,0.816,109.2,107.2,1.9,0.15,2.53,23.1,9.1,0.549,0.56,0.149,102.73,0.073,jevon carter,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.4,15.494999999999997,31.052,30.310450000000003,5.185,28.495700000000003
2022-23,1626192,Pat Connaughton,1610612749,MIL,30.0,61,23.7,7.6,4.6,1.3,0.5,2.2,0.392,0.339,0.659,113.3,109.9,3.4,0.069,2.33,14.1,6.0,0.521,0.531,0.133,103.42,0.075,pat connaughton,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.6,9.405000000000001,28.733,26.5593,3.0999999999999996,25.4743
2022-23,1631260,AJ Green,1610612749,MIL,23.0,35,9.9,4.4,1.3,0.6,0.3,-0.7,0.424,0.419,1.0,107.9,112.8,-4.9,0.092,2.44,14.0,5.7,0.6,0.607,0.159,102.9,0.076,aj green,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,8.690000000000001,29.793,25.99705,2.5949999999999998,25.088800000000003
2022-23,202083,Wesley Matthews,1610612749,MIL,36.0,52,15.8,3.4,2.2,0.7,0.3,1.0,0.363,0.315,0.857,111.1,108.3,2.8,0.053,1.89,15.0,8.0,0.484,0.519,0.095,104.52,0.041,wesley matthews,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.3333333333333335,6.6049999999999995,24.665,23.3755,3.4,22.185499999999998
2023-24,201935,James Harden,1610612746,LAC,34.0,72,34.3,16.6,5.1,8.5,2.6,4.0,0.428,0.381,0.878,120.9,115.2,5.6,0.338,3.32,35.1,10.6,0.541,0.612,0.202,96.87,0.131,james harden,James Harden,External Free Agent Target,Harden Target,3.269230769230769,40.1,39.272000000000006,47.89020000000001,8.91,44.77170000000001
2023-24,203081,Damian Lillard,1610612749,MIL,33.0,73,35.3,24.3,4.4,7.0,2.6,5.3,0.424,0.354,0.92,119.4,112.4,6.9,0.284,2.63,23.2,8.8,0.51,0.59,0.274,102.06,0.132,damian lillard,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.692307692307692,32.405,44.338,45.28105000000001,8.280000000000001,42.383050000000004
2023-24,201976,Patrick Beverley,1610612749,MIL,35.0,73,20.0,6.2,3.3,2.9,0.9,-0.8,0.417,0.337,0.822,110.7,112.2,-1.6,0.205,3.26,30.5,9.4,0.497,0.539,0.141,98.44,0.086,patrick beverley,Milwaukee Bucks Guard,Bucks Guard,Roster Position,3.222222222222222,20.439999999999998,27.869000000000003,32.06615,5.09,30.28465
